Neighbors,Contamination,Precision,Recall,F1
10,0.05,0.19708029197080293,0.100990099009901,0.13354669770148386
10,0.08,0.1570048309178744,0.12871287128712872,0.14145810663764963
10,0.1,0.14343998282155895,0.14697469746974698,0.14518582916757228
10,0.12,0.13188976377952755,0.16215621562156216,0.1454653113589263
20,0.05,0.1464147702876771,0.07502750275027503,0.09921443118999126
20,0.08,0.12345679012345678,0.10121012101210121,0.11123201547575867
20,0.1,0.11981962636890703,0.12277227722772277,0.12127798304716365
20,0.12,0.1104151753758053,0.13575357535753577,0.12178032172110925
30,0.05,0.10734220695577501,0.05500550055005501,0.07273785277858598
30,0.08,0.09903381642512077,0.08118811881188119,0.08922742110990206
30,0.1,0.09362250375778398,0.09592959295929593,0.09476200825907412
30,0.12,0.08732999284180387,0.10737073707370737,0.09631895786045594
50,0.05,0.0850150279089738,0.04356435643564356,0.05760837940064009
50,0.08,0.08051529790660225,0.066006600660066,0.07254261878853827
50,0.1,0.07644406270130985,0.07832783278327833,0.07737448380786785
50,0.12,0.07158196134574088,0.08800880088008801,0.0789499654593901
